Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
A001,65000,12000,Salaried,34,Married,1,760,1,32,220000,800000,350000,180,Home,Urban,Graduate,Male,Private,1
A002,28000,0,Business,29,Single,0,615,2,48,35000,120000,250000,120,Personal,Rural,Undergraduate,Female,Self,0
A003,54000,18000,Salaried,41,Married,2,725,1,36,150000,450000,300000,180,Home,Semi-Urban,Postgraduate,Female,Govt,1
A004,32000,8000,Self-Employed,37,Married,3,640,3,51,55000,180000,280000,144,Business,Rural,Graduate,Male,Self,0
A005,88000,25000,Salaried,45,Married,2,790,0,28,380000,1200000,500000,240,Home,Urban,Postgraduate,Male,Govt,1
A006,41000,6000,Business,31,Single,0,670,1,44,70000,220000,260000,120,Education,Semi-Urban,Graduate,Female,Private,0
A007,72000,15000,Salaried,39,Married,1,745,1,35,260000,700000,330000,180,Home,Urban,Graduate,Female,Private,1
A008,26000,5000,Self-Employed,27,Single,0,598,2,56,28000,90000,180000,96,Personal,Rural,Undergraduate,Male,Self,0
A009,61000,10000,Salaried,36,Married,2,735,1,33,190000,600000,340000,180,Home,Semi-Urban,Graduate,Male,Private,1
A010,35000,4000,Business,33,Married,1,655,2,46,62000,150000,240000,132,Business,Rural,Graduate,Female,Self,0
A011,93000,30000,Salaried,47,Married,3,805,1,26,410000,1400000,550000,240,Home,Urban,Postgraduate,Male,Govt,1
A012,29500,0,Self-Employed,30,Single,0,622,2,50,42000,130000,210000,108,Personal,Semi-Urban,Undergraduate,Female,Self,0
A013,56000,9000,Salaried,35,Married,1,710,1,38,165000,500000,295000,168,Education,Urban,Graduate,Male,Private,1
A014,27000,3000,Business,28,Single,0,605,3,58,25000,75000,175000,84,Personal,Rural,Undergraduate,Male,Self,0
A015,68000,11000,Salaried,40,Married,2,752,1,34,240000,780000,360000,180,Home,Semi-Urban,Postgraduate,Female,Govt,1
A016,33000,7000,Self-Employed,32,Married,2,648,2,49,58000,170000,255000,120,Business,Rural,Graduate,Male,Self,0
A017,76000,20000,Salaried,42,Married,2,770,1,31,300000,900000,420000,200,Home,Urban,Postgraduate,Female,Private,1
A018,30000,5000,Business,29,Single,1,630,2,53,46000,110000,220000,110,Education,Semi-Urban,Graduate,Male,Private,0
A019,59000,10000,Salaried,38,Married,1,728,1,37,175000,560000,310000,180,Home,Urban,Graduate,Female,Govt,1
A020,25000,2000,Self-Employed,26,Single,0,590,3,61,22000,65000,160000,72,Personal,Rural,Undergraduate,Female,Self,0
